Code,Department Name,Undergrad Courses,Quality,Difficulty,Workload
AAAS,"AAAS091.03: African Religions, Health, and Healing Traditions",,"INT, NW, TMV",0,0,Signup to reveal
AAAS,AAAS091.05: Maroons to Marley: Jamaica's Role in Worldwide Revolutions from Slavery to the Present Day,,SOC,0,0,Signup to reveal
AAAS,AAAS091: The Harlem Renaissance,,,0,0,Signup to reveal
AAAS,AAAS097: Senior Independent Research in African and African American Studies,,,0,0,Signup to reveal
AAAS,AAAS098: Honors Thesis in African and African American Studies,,,0,0,Signup to reveal
AAAS,AAAS099: Honors Thesis in African and African American Studies,,,0,0,Signup to reveal
AMEL,AMEL007.05: Arab Revolutions,,"INT, NW",0,0,Signup to reveal
AMEL,AMEL007: First-Year Seminars in Asian and Middle Eastern Languages and Literatures,,,0,0,Signup to reveal
AMEL,"AMEL017: Discourse, Culture, and Identity in Asia and the Middle East",,"INT, SOC, CI",0,1,Signup to reveal
AMEL,"AMEL018: Language, Conflict and Nation-Building in Asia and the Middle East",,"INT, SOC, CI",0,1,Signup to reveal
AMEL,AMEL085: Independent Research,,,0,0,Signup to reveal
AMEL,AMEL087: Honors Thesis,,,0,0,Signup to reveal
AMES,AMES005: Thought and Change in the Middle East and Central Asia,,"SOC, NW",0,0,Signup to reveal
AMES,AMES006: Islam: An Anthropological Approach,,,0,1,Signup to reveal
AMES,AMES007.02: Intl Conflict &Coop; in Asia,,"INT, SOC, NW",1,0,Signup to reveal
AMES,AMES007.03: Mid-East Women's Narratives,,"INT, NW",0,0,Signup to reveal
AMES,AMES008: Introduction to Islam,,"NW, TMV",6,1,Signup to reveal
AMES,AMES009: Hinduism,,"NW, TMV",0,0,Signup to reveal
AMES,AMES010: The Religions of China,,"NW, TMV",9,0,Signup to reveal
AMES,AMES011: Introduction to Korean Culture,,"SOC, CI",20,8,Signup to reveal
AMES,AMES012: Introduction to Chinese Culture,,"LIT, CI",56,6,Signup to reveal
AMES,AMES013: Introduction to Japanese Culture,,"LIT, CI",22,6,Signup to reveal
AMES,AMES015: Modern Islam,,"NW, TMV",14,1,Signup to reveal
AMES,AMES017: Introduction to Hebraic and Israeli Culture,,"LIT, CI",8,1,Signup to reveal
AMES,AMES018: History and Culture of Indonesia,,NW,14,3,Signup to reveal
AMES,AMES019: Introduction to South Asia,,,4,1,Signup to reveal
AMES,AMES021.01: Cultural Struggles in Colonial Korea,,,0,0,Signup to reveal
AMES,AMES021.02: Science and Technology in the Making of Modern Korea,,,0,0,Signup to reveal
AMES,AMES021.03: Exploring Korea Through Film,,"SOC, NW",0,3,Signup to reveal
AMES,"AMES021.04: North Korea, Origins and Transitions",,"SOC, NW",0,1,Signup to reveal
AMES,AMES021.05: Christianity in Korea,,"NW, TMV",0,0,Signup to reveal
AMES,AMES021.06: Introduction to Korean Art,,,0,0,Signup to reveal
AMES,AMES021.07: Modern and Contemporary Korean Art,,"NW, ART",0,0,Signup to reveal
AMES,AMES021.08: Introduction to Korean Literature: Politics and Aesthetics from 1905 to the Present,,,0,0,Signup to reveal
AMES,AMES021.09: Sexing Korea: Gender and Sexulaity in Korean Popular Culture and Literature,,,0,1,Signup to reveal
AMES,AMES021.10: Mapping Korean Literature: World Literatures and National Contexts,,"NW, LIT",0,0,Signup to reveal
AMES,AMES021.11: Arts and Culture of Korea’s Last Dynasty,,"INT, NW, ART",0,0,Signup to reveal
AMES,AMES021.12: East Meets West,,"NW, ART",0,0,Signup to reveal
AMES,AMES024: Asian Performance Traditions,,"NW, ART",0,2,Signup to reveal
AMES,AMES025: Unveiling the Harem Dancer,,,0,0,Signup to reveal
AMES,AMES026: Anthropology of Tibet and the Himalayas,,"SOC, NW",0,0,Signup to reveal
AMES,AMES027: Gender and Modern Media in India,,NW,0,0,Signup to reveal
AMES,AMES028: Contemporary Social Movements in India,,NW,0,0,Signup to reveal
AMES,AMES029: Foreign Study in India,,NW,0,0,Signup to reveal
AMES,AMES030: Global Sounds,,"NW, ART",0,1,Signup to reveal
AMES,AMES036: Topics in the Religions of India,,,0,0,Signup to reveal
AMES,AMES040.01: Magic and Supernaturalism in Asian Literature and Film,,"INT, NW",0,0,Signup to reveal
AMES,AMES040.02: Nomads from Central Asia to the Middle East: Historical and Contemporary Perspectives,,,0,0,Signup to reveal
AMES,AMES040.04: Asian Animation as Socio-Political Artifact,,"NW, ART",0,0,Signup to reveal
AMES,AMES040.05: Transnational Muslim Femnms,,"INT, SOC, NW",0,0,Signup to reveal
AMES,AMES040.06: Sacred Architecture of Asia,,"INT, NW, ART",0,0,Signup to reveal
AMES,"AMES040.07: Discourse, Culture and Identity in Asia & the Middle East",,"INT, SOC, CI",0,0,Signup to reveal
AMES,"AMES040.08: Language, Conflict and Nation-Building in Asia and the Middle East",,"INT, SOC, CI",0,0,Signup to reveal
AMES,AMES040.09: Music from the Lands of the Silk Road,,"NW, ART",0,0,Signup to reveal
AMES,"AMES041.01: Feminism, Islam and Modernity in the Muslim World",,,0,0,Signup to reveal
AMES,AMES041.03: Hist/Culture Jews:Classical,,"SOC, W",0,1,Signup to reveal
AMES,AMES041.06: Reporting the Arab Spring,,"INT, SOC, NW",2,2,Signup to reveal
AMES,AMES041.07: Jewish Views of Islam,,,0,0,Signup to reveal
AMES,"AMES041.08: Israeli Society- Structure, Institutions, Identities and Dynamics",,,0,0,Signup to reveal
AMES,AMES041.09: Sociology of the Israeli-Palestinian Conflict,,,0,0,Signup to reveal
AMES,AMES041.10: Unmaking HIstory: Contemporary Art in the Middle East,,"NW, ART",0,0,Signup to reveal
AMES,AMES041.11: Jews and Arabs in Israel-Palestine: Past and Present,,,0,0,Signup to reveal
AMES,"AMES041.12: Christians, Jews, and Muslims in the Age of the Crusades",,,0,0,Signup to reveal
AMES,AMES041.13: Jews and Arabs: Entangled Histories,,"SOC, CI",0,0,Signup to reveal
AMES,AMES041.14: Jerusalem: A Political History,,"SOC, CI",0,0,Signup to reveal
AMES,AMES041.15: Making of Modern Mid East,,"INT, SOC, NW",0,0,Signup to reveal
